rank,name,date
7,Victor Wembanyama,11-11-2025
8,Cade Cunningham,11-11-2025
9,Donovan Mitchell,11-11-2025
10,LaMelo Ball,11-11-2025
11,Bennedict Mathurin,11-11-2025
12,Julius Randle,11-11-2025
13,Devin Booker,11-11-2025
14,Alperen Sengun,11-11-2025
15,Josh Giddey,11-11-2025
16,Deni Avdija,11-11-2025
17,Jalen Brunson,11-11-2025
18,Jaylen Brown,11-11-2025
19,Kawhi Leonard,11-11-2025
20,James Harden,11-11-2025
21,Anthony Edwards,11-11-2025
22,Stephen Curry,11-11-2025
23,Lauri Markkanen,11-11-2025
24,Jalen Johnson,11-11-2025
25,Karl-Anthony Towns,11-11-2025
26,Paolo Banchero,11-11-2025
27,Jamal Murray,11-11-2025
28,Pascal Siakam,11-11-2025
29,Jalen Duren,11-11-2025
30,Scottie Barnes,11-11-2025
31,Anthony Davis,11-11-2025
32,Evan Mobley,11-11-2025
33,Keyonte George,11-11-2025
34,Alex Sarr,11-11-2025
35,Kevin Durant,11-11-2025
36,Miles Bridges,11-11-2025
37,Michael Porter Jr.,11-11-2025
38,Zion Williamson,11-11-2025
39,Franz Wagner,11-11-2025
40,Brandon Ingram,11-11-2025
41,Stephon Castle,11-11-2025
42,Zach LaVine,11-11-2025
43,Jaime Jaquez Jr.,11-11-2025
44,Norman Powell,11-11-2025
45,Nikola Vucevic,11-11-2025
46,Jrue Holiday,11-11-2025
47,Chet Holmgren,11-11-2025
48,Domantas Sabonis,11-11-2025
49,Walker Kessler,11-11-2025
50,De'Aaron Fox,11-11-2025

1,Luka Doncic,11-12-2025
2,Nikola Jokic,11-12-2025
3,Giannis Antetokounmpo,11-12-2025
4,Shai Gilgeous-Alexander,11-12-2025
5,Tyrese Maxey,11-12-2025
6,Austin Reaves,11-12-2025
7,Victor Wembanyama,11-12-2025
8,Cade Cunningham,11-12-2025
9,Donovan Mitchell,11-12-2025
10,LaMelo Ball,11-12-2025
11,Bennedict Mathurin,11-12-2025
12,Julius Randle,11-12-2025
13,Devin Booker,11-12-2025
14,Alperen Sengun,11-12-2025
15,Josh Giddey,11-12-2025
16,James Harden,11-12-2025
17,Jalen Brunson,11-12-2025
18,Deni Avdija,11-12-2025
19,Lauri Markkanen,11-12-2025
20,Kawhi Leonard,11-12-2025
21,Jaylen Brown,11-12-2025
22,Anthony Edwards,11-12-2025
23,Karl-Anthony Towns,11-12-2025
24,Pascal Siakam,11-12-2025
25,Jalen Johnson,11-12-2025
26,Paolo Banchero,11-12-2025
27,Jamal Murray,11-12-2025
28,Jalen Duren,11-12-2025
